locustag_ID;locustag;GenBank Accession;Molweight (kDa);length (nt);Transmembrane Helices (JGI);No_of_disordered_domains;length_of_disordered_domains;percentage_of_discordered_domain;tool_for_disordered_domains;Localisation(DavidLeaSmith);NbofTMHs(DavidLeaSmith);nr_of_interactions(Sato);self interaction(Sato);interactions(Sato)
slr1084;slr1084;NP_440258;16.05;441;0;6;30;0.204081633;PV2;PM;0;2;no;sll0488 sll1353
slr1084-as;slr1084;NP_440258;NA;205;0;6;30;0.43902439;PV2;PM;0;2;no;sll0488 sll1353
slr1090;slr1090;NP_440268;39.206;1107;0;7;109;0.295392954;VLXT;Soluble proteins;0;4;no;slr1636 sll1446 slr1900 ssl1577
slr1090-3UTR;slr1090;NP_440268;NA;11;0;7;109;29.72727273;VLXT;Soluble proteins;0;4;no;slr1636 sll1446 slr1900 ssl1577
slr1090-5UTR;slr1090;NP_440268;NA;65;0;7;109;5.030769231;VLXT;Soluble proteins;0;4;no;slr1636 sll1446 slr1900 ssl1577
slr1095;slr1095;NP_440074;25.034;648;0;4;48;0.222222222;VLXT;unknown;0;1;no;slr0633
slr1095-3UTR;slr1095;NP_440074;NA;63;0;4;48;2.285714286;VLXT;unknown;0;1;no;slr0633
slr1095-5UTR;slr1095;NP_440074;NA;28;0;4;48;5.142857143;VLXT;unknown;0;1;no;slr0633
slr1098;slr1098;NP_440077;27.675;759;0;6;73;0.288537549;VLXT;unknown;0;4;no;slr1974 slr0653 slr1353 slr1565
slr1100;slr1100;NP_440079;NA;381;0;5;60;0.472440945;PV2;PM;0;2;no;sll1143 sll0149
slr1100-5UTR;slr1100;NP_440079;NA;139;0;5;60;1.294964029;PV2;PM;0;2;no;sll1143 sll0149
slr1102;slr1102;NP_440081;96.638;2562;0;11;219;0.256440281;VLXT;unknown;0;1;no;sll0812
slr1102-as;slr1102;NP_440081;NA;63;0;11;219;10.42857143;VLXT;unknown;0;1;no;sll0812
slr1102-as2;slr1102;NP_440081;NA;578;0;11;219;1.136678201;VLXT;unknown;0;1;no;sll0812
slr1103;slr1103;NP_440082;79.83;2121;0;15;131;0.185289958;VLXT;Soluble proteins;0;1;no;ssl0294
slr1103-5UTR;slr1103;NP_440082;NA;84;0;15;131;4.678571429;VLXT;Soluble proteins;0;1;no;ssl0294
slr1103-as;slr1103;NP_440082;NA;70;0;15;131;5.614285714;VLXT;Soluble proteins;0;1;no;ssl0294
slr1104;slr1104;NP_440083;69.333;1842;0;8;158;0.25732899;VLXT;unknown;0;1;no;slr0495
slr1106;slr1106;NP_440089;30.569;849;1;4;105;0.371024735;VLXT;TM;1;1;no;slr1918
slr1106-3UTR;slr1106;NP_440089;NA;74;1;4;105;4.256756757;VLXT;TM;1;1;no;slr1918
slr1106-5UTR;slr1106;NP_440089;NA;41;1;4;105;7.682926829;VLXT;TM;1;1;no;slr1918
slr1107;slr1107;NP_440090;50.979;1335;3;7;120;0.269662921;VLXT;PM;3;5;no;slr1369 sll0182 ssl2598 sll0192 slr1045
slr1107-as;slr1107;NP_440090;NA;49;3;7;120;7.346938776;VLXT;PM;3;5;no;slr1369 sll0182 ssl2598 sll0192 slr1045
slr1109;slr1109;NP_440098;46.817;1326;0;6;116;0.262443439;VLXT;Soluble proteins;0;1;no;slr1047
slr1109-5UTR;slr1109;NP_440098;NA;59;0;6;116;5.898305085;VLXT;Soluble proteins;0;1;no;slr1047
slr1110;slr1110;NP_440099;21.664;579;0;10;33;0.170984456;PV2;NA;NA;5;no;slr0399 slr0586 slr0687 slr1743 sll1371
slr1113;slr1113;NP_439948;37.07;999;0;7;84;0.252252252;VLXT;PM;0;1;no;sll1715
slr1113-5UTR;slr1113;NP_439948;NA;18;0;7;84;14;VLXT;PM;0;1;no;sll1715
slr1117;slr1117;NP_439952;28.845;762;0;5;62;0.244094488;VLXT;Soluble proteins;0;3;no;slr0854 ssl0294 sll0210
slr1119;slr1119;NP_439956;NA;702;0;10;40;0.170940171;PV2;Soluble proteins;0;1;no;sll0156
slr1119-3UTR;slr1119;NP_439956;NA;498;0;10;40;0.240963855;PV2;Soluble proteins;0;1;no;sll0156
slr1119-5UTR;slr1119;NP_439956;NA;66;0;10;40;1.818181818;PV2;Soluble proteins;0;1;no;sll0156
slr1119-as;slr1119;NP_439956;NA;130;0;10;40;0.923076923;PV2;Soluble proteins;0;1;no;sll0156
slr1119-as2;slr1119;NP_439956;NA;38;0;10;40;3.157894737;PV2;Soluble proteins;0;1;no;sll0156
slr1125;slr1125;NP_439972;43.534;1209;0;8;76;0.188585608;VLXT;Soluble proteins;0;4;no;slr0930 slr0243 sll1032 slr0012
slr1127;slr1127;NP_439976;28.171;792;0;5;99;0.375;VLXT;unknown;0;4;no;sll0418 sll0169 sll1247 slr1300
slr1127-as;slr1127;NP_439976;NA;23;0;5;99;12.91304348;VLXT;unknown;0;4;no;sll0418 sll0169 sll1247 slr1300
slr1128;slr1128;NP_439977;35.727;966;0;4;103;0.319875776;PrDOS;PM;1;2;no;sll0103 slr0844
slr1128-as;slr1128;NP_439977;NA;72;0;4;103;4.291666667;PrDOS;PM;1;2;no;sll0103 slr0844
slr1128-as2;slr1128;NP_439977;NA;98;0;4;103;3.153061224;PrDOS;PM;1;2;no;sll0103 slr0844
slr1136;slr1136;NP_440608;35.917;999;3;NA;NA;NA;NA;NA;NA;2;no;sll0022 ssr2194
slr1136-5UTR;slr1136;NP_440608;NA;42;3;NA;NA;NA;NA;NA;NA;2;no;sll0022 ssr2194
slr1139;slr1139;NP_440611;12.171;330;0;NA;NA;NA;NA;unknown;0;7;no;sll1196 sll0810 slr1699 slr1759 slr1238 slr1454 slr0510
slr1139-5UTR;slr1139;NP_440611;NA;84;0;NA;NA;NA;NA;unknown;0;7;no;sll1196 sll0810 slr1699 slr1759 slr1238 slr1454 slr0510
slr1140;slr1140;NP_440612;41.559;1137;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll0818 sll1267
slr1143;slr1143;NP_440620;38.761;1032;0;NA;NA;NA;NA;Soluble proteins;0;5;no;slr0459 sll0821 sll0166 sll1908 sll0892
slr1148;slr1148;NP_440625;NA;567;0;NA;NA;NA;NA;NA;NA;1;no;sll0283
slr1148-as;slr1148;NP_440625;NA;37;0;NA;NA;NA;NA;NA;NA;1;no;sll0283
slr1150;slr1150;NP_440627;18.995;513;0;NA;NA;NA;NA;NA;NA;1;no;slr2128
slr1161;slr1161;NP_441650;22.952;600;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1219
slr1161-5UTR;slr1161;NP_441650;NA;29;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1219
slr1164;slr1164;NP_441654;85.636;2304;0;NA;NA;NA;NA;Soluble proteins;0;3;no;sll1967 ssr2803 sll0350
slr1164-3UTR;slr1164;NP_441654;NA;240;0;NA;NA;NA;NA;Soluble proteins;0;3;no;sll1967 ssr2803 sll0350
slr1164-5UTR;slr1164;NP_441654;NA;133;0;NA;NA;NA;NA;Soluble proteins;0;3;no;sll1967 ssr2803 sll0350
slr1164-as;slr1164;NP_441654;NA;191;0;NA;NA;NA;NA;Soluble proteins;0;3;no;sll1967 ssr2803 sll0350
slr1165;slr1165;NP_441655;43.695;1173;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1424
slr1165-5UTR;slr1165;NP_441655;NA;55;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1424
slr1166;slr1166;NP_441656;39.289;1065;0;NA;NA;NA;NA;NA;NA;1;no;slr0598
slr1166-as;slr1166;NP_441656;NA;90;0;NA;NA;NA;NA;NA;NA;1;no;slr0598
slr1167;slr1167;NP_441660;NA;1116;0;NA;NA;NA;NA;Soluble proteins;0;1;no;ssl3441
slr1169;slr1169;NP_441662;30.966;837;2;NA;NA;NA;NA;unknown;1;1;no;slr1567
slr1177;slr1177;NP_443011;30.757;849;3;NA;NA;NA;NA;PM;3;2;no;sll1902 ssl1464
slr1177-as;slr1177;NP_443011;NA;36;3;NA;NA;NA;NA;PM;3;2;no;sll1902 ssl1464
slr1179;slr1179;NP_443013;41.357;1131;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1929
slr1181;slr1181;NP_443017;NA;1083;6;NA;NA;NA;NA;NA;NA;1;no;sll0408
slr1181-as;slr1181;NP_443017;NA;153;6;NA;NA;NA;NA;NA;NA;1;no;sll0408
slr1185;slr1185;NP_443021;18.685;537;1;NA;NA;NA;NA;NA;NA;1;no;sll0547
slr1185-as;slr1185;NP_443021;NA;43;1;NA;NA;NA;NA;NA;NA;1;no;sll0547
slr1189;slr1189;NP_443025;34.657;942;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0445
slr1194;slr1194;NP_440693;25.17;669;0;NA;NA;NA;NA;unknown;0;4;no;slr1557 sll1457 sll1466 slr0543
slr1194-5UTR;slr1194;NP_440693;NA;51;0;NA;NA;NA;NA;unknown;0;4;no;slr1557 sll1457 sll1466 slr0543
slr1196;slr1196;NP_440695;48.001;1290;1;NA;NA;NA;NA;unknown;0;3;no;sll1969 sll1119 sll0821
slr1199;slr1199;NP_440700;NA;1692;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr1474 sll0272
slr1203;slr1203;NP_440704;17.066;438;0;NA;NA;NA;NA;unknown;0;2;no;sll0920 slr1325
slr1203-5UTR;slr1203;NP_440704;NA;40;0;NA;NA;NA;NA;unknown;0;2;no;sll0920 slr1325
slr1204;slr1204;NP_440705;47.656;1359;1;NA;NA;NA;NA;unknown;1;22;no;slr0734 sll1063 slr2007 slr0697 slr0740 sll1629 sll0016 sll1043 slr2131 slr1827 slr1610 sll1138 sll1730 slr2005 sll1586 sll1638 sll0400 sll0601 slr0844 sll1035 sll0359 sll0252
slr1204-3UTR;slr1204;NP_440705;NA;48;1;NA;NA;NA;NA;unknown;1;22;no;slr0734 sll1063 slr2007 slr0697 slr0740 sll1629 sll0016 sll1043 slr2131 slr1827 slr1610 sll1138 sll1730 slr2005 sll1586 sll1638 sll0400 sll0601 slr0844 sll1035 sll0359 sll0252
slr1204-5UTR;slr1204;NP_440705;NA;24;1;NA;NA;NA;NA;unknown;1;22;no;slr0734 sll1063 slr2007 slr0697 slr0740 sll1629 sll0016 sll1043 slr2131 slr1827 slr1610 sll1138 sll1730 slr2005 sll1586 sll1638 sll0400 sll0601 slr0844 sll1035 sll0359 sll0252
slr1207;slr1207;NP_440708;55.776;1545;1;NA;NA;NA;NA;PM;0;1;no;slr1210
slr1207-as;slr1207;NP_440708;NA;112;1;NA;NA;NA;NA;PM;0;1;no;slr1210
slr1208;slr1208;NP_440710;71.553;1974;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1783
slr1208-5UTR;slr1208;NP_440710;NA;191;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1783
slr1210;slr1210;NP_440712;14.936;390;0;NA;NA;NA;NA;unknown;0;3;no;sll0198 slr1207 slr1209
slr1211;slr1211;NP_440713;NA;3279;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0359 sll1995
slr1211-as;slr1211;NP_440713;NA;232;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0359 sll1995
slr1212;slr1212;NP_440714;NA;2535;3;NA;NA;NA;NA;TM;3;3;no;slr2087 ssr2803 slr1214
slr1212-as;slr1212;NP_440714;NA;69;3;NA;NA;NA;NA;TM;3;3;no;slr2087 ssr2803 slr1214
slr1213;slr1213;NP_440715;NA;726;0;NA;NA;NA;NA;unknown;0;11;no;sll0865 slr1536 slr0359 sll1231 slr0771 slr1722 sll1143 sll1868 slr0653 slr0311 sll5086
slr1213-as;slr1213;NP_440715;NA;66;0;NA;NA;NA;NA;unknown;0;11;no;sll0865 slr1536 slr0359 sll1231 slr0771 slr1722 sll1143 sll1868 slr0653 slr0311 sll5086
slr1214;slr1214;NP_440716;NA;1119;0;NA;NA;NA;NA;NA;NA;2;no;sll7066 slr1212
slr1214-as;slr1214;NP_440716;NA;30;0;NA;NA;NA;NA;NA;NA;2;no;sll7066 slr1212
slr1214-as2;slr1214;NP_440716;NA;92;0;NA;NA;NA;NA;NA;NA;2;no;sll7066 slr1212
slr1216;slr1216;NP_440719;51.1;1392;3;NA;NA;NA;NA;PM;0;2;no;sll0614 slr1232
slr1216-as;slr1216;NP_440719;NA;34;3;NA;NA;NA;NA;PM;0;2;no;sll0614 slr1232
slr1218;slr1218;NP_440821;17.678;477;1;NA;NA;NA;NA;PM;1;1;no;sll0169
slr1218-5UTR;slr1218;NP_440821;NA;53;1;NA;NA;NA;NA;PM;1;1;no;sll0169
slr1223;slr1223;NP_440827;33.193;924;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0280
slr1223-3UTR;slr1223;NP_440827;NA;44;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0280
slr1223-5UTR;slr1223;NP_440827;NA;168;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0280
slr1223-as;slr1223;NP_440827;NA;42;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0280
slr1225;slr1225;NP_440829;53.872;1488;3;NA;NA;NA;NA;PM;0;2;no;sll0194 smr0001
slr1225-3UTR;slr1225;NP_440829;NA;226;3;NA;NA;NA;NA;PM;0;2;no;sll0194 smr0001
slr1225-5UTR;slr1225;NP_440829;NA;36;3;NA;NA;NA;NA;PM;0;2;no;sll0194 smr0001
slr1227;slr1227;NP_440832;92.306;2586;0;NA;NA;NA;NA;unknown;0;1;no;slr1307
slr1227-3UTR;slr1227;NP_440832;NA;57;0;NA;NA;NA;NA;unknown;0;1;no;slr1307
slr1227-5UTR;slr1227;NP_440832;NA;102;0;NA;NA;NA;NA;unknown;0;1;no;slr1307
slr1227-as;slr1227;NP_440832;NA;95;0;NA;NA;NA;NA;unknown;0;1;no;slr1307
slr1227-as2;slr1227;NP_440832;NA;118;0;NA;NA;NA;NA;unknown;0;1;no;slr1307
slr1229;slr1229;NP_440834;NA;1362;11;NA;NA;NA;NA;NA;NA;3;no;sll1959 slr2092 sll0732
slr1230;slr1230;NP_440835;NA;864;0;NA;NA;NA;NA;PM;0;3;no;slr1812 slr0080 sll0606
slr1232;slr1232;NP_440837;19.443;537;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll0737 slr1216
slr1232-3UTR;slr1232;NP_440837;NA;25;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll0737 slr1216
slr1232-5UTR;slr1232;NP_440837;NA;51;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll0737 slr1216
slr1235;slr1235;NP_440842;32.776;882;0;NA;NA;NA;NA;PM;0;8;no;slr0839 slr0919 sll0169 slr1423 slr0348 slr0796 sll0495 sll1861
slr1235-5UTR;slr1235;NP_440842;NA;29;0;NA;NA;NA;NA;PM;0;8;no;slr0839 slr0919 sll0169 slr1423 slr0348 slr0796 sll0495 sll1861
slr1236;slr1236;NP_440843;19.109;534;0;NA;NA;NA;NA;unknown;0;1;no;slr0329
slr1238;slr1238;NP_440853;35.068;963;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1139
slr1239;slr1239;NP_440856;56.049;1593;5;NA;NA;NA;NA;TM;4;5;no;ssl0353 slr1350 slr1919 sll0226 sll1343
slr1239-5UTR;slr1239;NP_440856;NA;32;5;NA;NA;NA;NA;TM;4;5;no;ssl0353 slr1350 slr1919 sll0226 sll1343
slr1240;slr1240;NP_440857;21.06;540;0;NA;NA;NA;NA;unknown;0;1;no;sll1880
slr1245;slr1245;NP_441150;NA;909;0;NA;NA;NA;NA;NA;NA;1;no;sll0763
slr1248;slr1248;NP_441158;NA;987;8;NA;NA;NA;NA;NA;NA;2;no;ssr1386 slr1385
slr1248-as;slr1248;NP_441158;NA;57;8;NA;NA;NA;NA;NA;NA;2;no;ssr1386 slr1385
slr1254;slr1254;NP_441167;52.92;1419;0;NA;NA;NA;NA;Soluble proteins;0;3;no;sll1528 slr1638 slr5038
slr1254-5UTR;slr1254;NP_441167;NA;40;0;NA;NA;NA;NA;Soluble proteins;0;3;no;sll1528 slr1638 slr5038
slr1254-as;slr1254;NP_441167;NA;80;0;NA;NA;NA;NA;Soluble proteins;0;3;no;sll1528 slr1638 slr5038
slr1256;slr1256;NP_441170;11.056;303;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0011
slr1256-5UTR;slr1256;NP_441170;NA;59;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0011
slr1257;slr1257;NP_441171;43.437;1194;2;NA;NA;NA;NA;PM;2;1;no;slr1044
slr1258;slr1258;NP_441172;27.099;756;1;NA;NA;NA;NA;PM;0;1;no;sll1272
slr1258-3UTR;slr1258;NP_441172;NA;112;1;NA;NA;NA;NA;PM;0;1;no;sll1272
slr1258-5UTR;slr1258;NP_441172;NA;73;1;NA;NA;NA;NA;PM;0;1;no;sll1272
slr1259;slr1259;NP_441173;25.747;699;0;NA;NA;NA;NA;unknown;0;1;no;sll1427
slr1259-5UTR;slr1259;NP_441173;NA;20;0;NA;NA;NA;NA;unknown;0;1;no;sll1427
slr1262;slr1262;NP_441176;NA;867;8;NA;NA;NA;NA;NA;NA;2;no;slr0936 slr0650
slr1263;slr1263;NP_441177;51.701;1413;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0763
slr1263-3UTR;slr1263;NP_441177;NA;197;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0763
slr1263-5UTR;slr1263;NP_441177;NA;32;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0763
slr1263-as;slr1263;NP_441177;NA;108;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0763
slr1265;slr1265;NP_441586;70.977;1881;0;NA;NA;NA;NA;unknown;0;1;no;slr0423
slr1265-3UTR;slr1265;NP_441586;NA;66;0;NA;NA;NA;NA;unknown;0;1;no;slr0423
slr1265-5UTR;slr1265;NP_441586;NA;28;0;NA;NA;NA;NA;unknown;0;1;no;slr0423
slr1266;slr1266;NP_441588;19.529;558;1;NA;NA;NA;NA;NA;NA;3;no;sll1110 sll0588 sll0641
slr1266-5UTR;slr1266;NP_441588;NA;62;1;NA;NA;NA;NA;NA;NA;3;no;sll1110 sll0588 sll0641
slr1267;slr1267;NP_441589;NA;1182;8;NA;NA;NA;NA;NA;NA;1;no;ssl3379
slr1267-as;slr1267;NP_441589;NA;115;8;NA;NA;NA;NA;NA;NA;1;no;ssl3379
slr1272;slr1272;NP_441593;28.029;765;0;NA;NA;NA;NA;unknown;0;4;no;sll1653 sll1499 slr1732 slr1851
slr1272-5UTR;slr1272;NP_441593;NA;16;0;NA;NA;NA;NA;unknown;0;4;no;sll1653 sll1499 slr1732 slr1851
slr1274;slr1274;NP_441595;40.879;1104;0;NA;NA;NA;NA;PM;0;2;no;slr1636 sll1193
slr1275;slr1275;NP_441596;30.034;855;1;NA;NA;NA;NA;PM;1;2;no;slr1969 slr0993
slr1277;slr1277;NP_441598;84.641;2358;0;NA;NA;NA;NA;unknown;0;2;no;sll1949 sll1942
slr1277-3UTR;slr1277;NP_441598;NA;103;0;NA;NA;NA;NA;unknown;0;2;no;sll1949 sll1942
slr1277-5UTR;slr1277;NP_441598;NA;10;0;NA;NA;NA;NA;unknown;0;2;no;sll1949 sll1942
slr1277-as;slr1277;NP_441598;NA;131;0;NA;NA;NA;NA;unknown;0;2;no;sll1949 sll1942
slr1277-as2;slr1277;NP_441598;NA;58;0;NA;NA;NA;NA;unknown;0;2;no;sll1949 sll1942
slr1277-as3;slr1277;NP_441598;NA;118;0;NA;NA;NA;NA;unknown;0;2;no;sll1949 sll1942
slr1280;slr1280;NP_441604;27.345;747;0;NA;NA;NA;NA;TM;0;1;no;ssr2781
slr1288;slr1288;NP_441614;21.017;585;5;NA;NA;NA;NA;unknown;5;2;no;sll0819 slr1311
slr1289;slr1289;NP_440155;52.258;1428;0;9;114;0.239495798;VLXT;Soluble proteins;0;2;no;slr0394 slr0514
slr1289-5UTR;slr1289;NP_440155;NA;28;0;9;114;12.21428571;VLXT;Soluble proteins;0;2;no;slr0394 slr0514
slr1291;slr1291;NP_440158;NA;1680;14;22;366;0.653571429;PV2;NA;NA;2;no;sll1614 slr1350
slr1291-3UTR;slr1291;NP_440158;NA;109;14;22;366;10.0733945;PV2;NA;NA;2;no;sll1614 slr1350
slr1291-5UTR;slr1291;NP_440158;NA;30;14;22;366;36.6;PV2;NA;NA;2;no;sll1614 slr1350
slr1293;slr1293;NP_440160;NA;1524;0;8;76;0.149606299;VLXT;NA;NA;2;no;slr1992 slr1838
slr1293-5UTR;slr1293;NP_440160;NA;32;0;8;76;7.125;VLXT;NA;NA;2;no;slr1992 slr1838
slr1298;slr1298;NP_440166;NA;2268;9;31;345;0.456349206;PV2;PM;9;1;no;slr1596
slr1300;slr1300;NP_440170;NA;1245;1;12;48;0.115662651;PV2;unknown;0;5;no;sll1214 sll0871 ssr2755 slr1127 sll1578
slr1300-5UTR;slr1300;NP_440170;NA;97;1;12;48;1.484536082;PV2;unknown;0;5;no;sll1214 sll0871 ssr2755 slr1127 sll1578
slr1303;slr1303;NP_440176;NA;1233;0;28;98;0.238442822;PV2;NA;NA;2;no;sll0735 ssl2542
slr1303-as;slr1303;NP_440176;NA;70;0;28;98;4.2;PV2;NA;NA;2;no;sll0735 ssl2542
slr1306;slr1306;NP_440179;NA;1458;0;31;168;0.345679012;PV2;unknown;0;1;no;sll0149
slr1306-3UTR;slr1306;NP_440179;NA;247;0;31;168;2.04048583;PV2;unknown;0;1;no;sll0149
slr1306-5UTR;slr1306;NP_440179;NA;69;0;31;168;7.304347826;PV2;unknown;0;1;no;sll0149
slr1311;slr1311;NP_439906;39.721;1083;5;23;103;0.28531856;PV2;TM;5;1;no;slr1288
"slr1311;sll1867;slr1181";slr1311;NP_439906;39.721;1083;5;23;103;0.28531856;PV2;TM;5;1;no;slr1288
slr1311-3UTR;slr1311;NP_439906;NA;69;5;23;103;4.47826087;PV2;TM;5;1;no;slr1288
slr1311-5UTR;slr1311;NP_439906;NA;50;5;23;103;6.18;PV2;TM;5;1;no;slr1288
slr1311-as;slr1311;NP_439906;NA;74;5;23;103;4.175675676;PV2;TM;5;1;no;slr1288
slr1311-as-5UTR;slr1311;NP_439906;NA;300;5;23;103;1.03;PV2;TM;5;1;no;slr1288
slr1315;slr1315;NP_439909;23.093;609;0;10;69;0.339901478;PV2;Soluble proteins;0;3;no;sll1800 sll0474 slr2041
slr1315-3UTR;slr1315;NP_439909;NA;74;0;10;69;2.797297297;PV2;Soluble proteins;0;3;no;sll1800 sll0474 slr2041
slr1315-5UTR;slr1315;NP_439909;NA;10;0;10;69;20.7;PV2;Soluble proteins;0;3;no;sll1800 sll0474 slr2041
slr1315-as2;slr1315;NP_439909;NA;90;0;10;69;2.3;PV2;Soluble proteins;0;3;no;sll1800 sll0474 slr2041
slr1315-as3;slr1315;NP_439909;NA;130;0;10;69;1.592307692;PV2;Soluble proteins;0;3;no;sll1800 sll0474 slr2041
slr1319;slr1319;NP_439913;NA;948;0;5;67;0.212025316;PrDOS;PM;0;1;no;slr0386
slr1322;slr1322;NP_441393;53.129;1470;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0868
slr1322-3UTR;slr1322;NP_441393;NA;503;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0868
slr1322-5UTR;slr1322;NP_441393;NA;35;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0868
slr1322-as;slr1322;NP_441393;NA;78;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0868
slr1322-as2;slr1322;NP_441393;NA;96;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0868
slr1324;slr1324;NP_441395;46.784;1263;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0012
slr1324-as;slr1324;NP_441395;NA;140;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0012
slr1330;slr1330;NP_441408;14.58;411;0;3;85;0.620437956;VLXT;unknown;0;6;no;slr0653 slr1743 sll1129 sll0421 slr0108 slr1498
slr1330-5UTR;slr1330;NP_441408;NA;139;0;3;85;1.834532374;VLXT;unknown;0;6;no;slr0653 slr1743 sll1129 sll0421 slr0108 slr1498
slr1334;slr1334;NP_441420;52.678;1473;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0225
slr1334-5UTR;slr1334;NP_441420;NA;51;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0225
slr1338;slr1338;NP_441472;22.438;603;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0115 sll1799
slr1338-5UTR;slr1338;NP_441472;NA;27;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0115 sll1799
slr1342;slr1342;NP_441477;48.519;1338;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0306
slr1342-5UTR;slr1342;NP_441477;NA;107;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0306
slr1343;slr1343;NP_441478;58.141;1515;0;NA;NA;NA;NA;Soluble proteins;0;6;no;slr1916 sll1703 slr1536 slr0108 sll1864 slr1604
slr1347;slr1347;NP_441486;34.806;825;0;NA;NA;NA;NA;unknown;0;2;no;slr0688 sll1031
slr1347-5UTR;slr1347;NP_441486;NA;26;0;NA;NA;NA;NA;unknown;0;2;no;slr0688 sll1031
slr1348;slr1348;NP_441487;27.336;750;0;NA;NA;NA;NA;unknown;0;1;no;sll0854
slr1349;slr1349;NP_441488;58.356;1596;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0479 slr1838
slr1349-3UTR;slr1349;NP_441488;NA;101;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0479 slr1838
slr1349-5UTR;slr1349;NP_441488;NA;44;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0479 slr1838
slr1351;slr1351;NP_441491;48.239;1365;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1565
slr1351-3UTR;slr1351;NP_441491;NA;171;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1565
slr1351-5UTR;slr1351;NP_441491;NA;208;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1565
slr1362;slr1362;NP_440895;14.794;402;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll1905 sll0163
slr1362-3UTR;slr1362;NP_440895;NA;192;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll1905 sll0163
slr1362-5UTR;slr1362;NP_440895;NA;45;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll1905 sll0163
slr1364;slr1364;NP_440898;39.349;1089;0;NA;NA;NA;NA;Soluble proteins;0;4;no;slr0579 sll0996 slr1992 sll0939
slr1364-5UTR;slr1364;NP_440898;NA;43;0;NA;NA;NA;NA;Soluble proteins;0;4;no;slr0579 sll0996 slr1992 sll0939
slr1367;slr1367;NP_440906;98.304;2568;0;NA;NA;NA;NA;Soluble proteins;0;4;no;slr1603 slr0546 slr0848 slr1037
slr1367-3UTR;slr1367;NP_440906;NA;80;0;NA;NA;NA;NA;Soluble proteins;0;4;no;slr1603 slr0546 slr0848 slr1037
slr1367-5UTR;slr1367;NP_440906;NA;102;0;NA;NA;NA;NA;Soluble proteins;0;4;no;slr1603 slr0546 slr0848 slr1037
slr1367-as;slr1367;NP_440906;NA;54;0;NA;NA;NA;NA;Soluble proteins;0;4;no;slr1603 slr0546 slr0848 slr1037
slr1376;slr1376;NP_440502;NA;333;0;NA;NA;NA;NA;Soluble proteins;0;4;no;sll0301 sll0577 sll1390 sll1317
slr1376-5UTR;slr1376;NP_440502;NA;154;0;NA;NA;NA;NA;Soluble proteins;0;4;no;sll0301 sll0577 sll1390 sll1317
slr1383;slr1383;NP_440511;18.05;489;0;NA;NA;NA;NA;Soluble proteins;0;1;no;ssl1377
